Ec,Rel,Erat_1,E50_1,c_1,phi_1,k0_1,Erat_2,E50_2,c_2,phi_2,k0_2
13.9,32.46,2.66,65.6,31.1,29.0,0.654,2.78,129.0,5.41,43.3,0.543
11.8,64.27,2.63,61.9,26.4,31.0,0.897,2.66,126.0,5.27,44.5,0.463
13.1,35.71,2.64,67.8,40.0,31.1,0.955,2.44,132.0,5.67,43.2,0.593
13.0,51.17,2.12,69.6,24.8,29.4,1.05,2.28,127.0,5.09,41.4,0.511
12.6,48.64,2.72,65.7,25.0,30.0,0.988,2.6,126.0,4.3,42.6,0.524
11.0,44.58,2.33,69.1,35.2,30.4,1.04,2.67,122.0,6.62,41.0,0.645
13.7,52.59,2.07,61.3,34.6,32.1,1.09,2.0,148.0,5.79,42.5,0.563
13.3,35.95,2.83,61.7,29.6,28.6,0.893,2.43,121.0,4.04,41.1,0.495
12.8,41.71,2.69,54.8,28.0,28.9,0.663,2.67,139.0,5.66,42.2,0.506
13.3,52.88,2.45,67.3,33.5,30.5,0.873,2.3,141.0,5.0,43.0,0.463
12.0,62.7,2.89,62.3,34.1,30.4,0.958,2.76,124.0,5.64,41.8,0.64
13.0,52.71,2.02,62.4,30.3,29.1,0.728,2.32,139.0,5.17,40.6,0.465
12.7,67.85,2.47,65.3,34.1,32.4,1.0,2.24,144.0,3.34,41.8,0.487
13.8,50.23,2.97,59.4,32.8,28.3,0.842,2.2,129.0,5.18,40.6,0.459
12.0,45.02,2.32,57.8,31.8,31.0,0.737,2.06,134.0,3.47,41.5,0.468
14.5,50.41,2.85,57.3,32.7,28.9,0.96,2.04,128.0,4.95,42.1,0.5
14.6,38.44,2.17,73.7,37.7,30.9,0.804,2.92,122.0,5.22,42.1,0.549
11.8,49.44,2.45,56.4,31.8,29.3,0.801,2.6,138.0,4.78,41.2,0.619
13.2,31.49,2.01,67.9,32.5,30.3,0.618,2.53,142.0,4.07,41.0,0.626
15.6,30.81,2.53,58.5,26.9,29.2,0.942,2.65,139.0,4.42,43.8,0.517
11.4,69.42,2.49,66.8,36.3,28.1,1.03,2.3,126.0,4.01,43.3,0.561
12.7,38.39,2.85,57.9,33.0,30.3,0.826,2.74,125.0,5.33,41.3,0.632
13.0,34.52,2.52,58.3,27.6,30.2,0.898,2.33,131.0,4.48,41.7,0.546
13.3,45.13,2.54,64.8,27.6,30.0,0.89,2.57,132.0,5.14,43.0,0.579
12.3,63.61,2.83,64.5,36.3,29.3,0.868,2.3,130.0,6.12,41.5,0.553
14.3,31.94,2.97,63.9,32.0,29.5,0.754,2.2,132.0,5.2,41.1,0.499
13.3,35.75,2.62,63.9,30.9,29.4,0.744,2.55,133.0,2.82,41.9,0.567
11.6,60.49,2.39,63.2,23.9,30.3,0.874,2.62,126.0,5.7,43.6,0.621
12.7,43.52,2.78,61.8,36.5,29.1,0.948,2.55,129.0,5.43,45.0,0.644
12.7,50.98,2.29,66.2,32.1,30.1,1.04,2.6,140.0,4.64,41.4,0.589
13.7,47.22,2.28,60.9,24.2,30.5,0.651,2.81,133.0,4.12,42.4,0.485
12.4,42.92,2.16,65.7,34.7,31.7,0.603,2.2,127.0,5.25,42.7,0.574
14.7,59.04,2.04,63.4,33.4,29.7,1.09,2.62,134.0,3.8,40.1,0.55
11.7,49.78,2.95,71.4,26.7,29.8,0.817,2.76,130.0,4.55,41.2,0.47
14.7,39.65,2.78,71.2,29.9,30.0,0.824,2.89,124.0,3.01,41.5,0.619
13.0,33.87,2.23,75.3,36.8,30.2,1.09,2.61,122.0,5.02,43.3,0.524
12.5,61.95,2.04,60.3,22.2,29.4,0.662,2.33,120.0,5.01,42.8,0.555
15.1,38.56,2.21,66.8,26.6,30.9,1.08,2.31,135.0,6.35,39.9,0.612
12.0,39.9,2.84,73.0,24.2,31.1,0.839,2.74,121.0,4.7,41.8,0.456
11.5,65.85,2.34,69.3,31.9,30.0,0.851,2.1,114.0,4.65,41.3,0.597
12.8,43.62,2.83,68.3,30.2,30.4,0.79,2.19,126.0,5.93,42.0,0.564
12.4,64.41,2.95,67.8,34.8,29.0,0.91,2.39,113.0,5.17,43.9,0.622
14.5,40.2,2.84,59.2,30.5,29.2,0.794,2.44,125.0,5.35,42.3,0.565
12.8,54.46,2.81,56.0,26.5,30.0,1.07,2.24,123.0,6.34,41.2,0.554
13.0,57.01,2.08,70.5,39.3,30.3,1.07,2.05,140.0,5.27,43.0,0.599
12.8,41.37,2.23,72.8,30.1,30.3,0.866,2.85,141.0,5.18,40.4,0.567
14.1,43.57,2.91,66.0,29.6,30.1,0.815,2.34,130.0,4.73,43.9,0.59
11.6,34.44,2.18,69.2,30.4,30.9,0.666,2.1,138.0,5.16,43.6,0.574
13.3,57.61,2.49,57.1,30.5,30.0,1.01,2.31,132.0,3.88,40.3,0.536
14.4,60.03,2.32,68.2,28.5,30.9,1.06,2.66,113.0,5.65,41.6,0.593
13.5,55.31,2.9,61.3,24.7,30.8,0.752,2.51,144.0,5.23,41.7,0.542
13.0,67.54,2.53,70.7,24.4,29.4,0.865,2.87,143.0,5.51,41.3,0.592
14.0,69.23,2.65,62.9,29.0,31.6,0.787,2.17,135.0,3.02,42.0,0.588
13.2,35.42,2.55,60.0,28.5,28.7,0.998,2.93,135.0,5.91,41.1,0.591
12.5,53.14,2.38,70.5,29.8,29.9,0.879,2.28,126.0,3.61,41.6,0.55
13.7,36.91,2.02,66.6,22.9,30.4,0.793,2.68,125.0,5.59,42.1,0.585
13.2,59.86,2.94,60.0,34.0,30.4,0.901,2.9,128.0,6.66,42.2,0.481
12.8,45.71,2.51,65.0,37.6,29.0,0.8,2.09,147.0,6.31,41.4,0.451
13.2,66.62,2.05,64.1,22.4,30.6,1.09,2.69,129.0,6.57,42.6,0.607
13.8,45.63,2.12,58.1,31.3,30.6,1.08,2.61,131.0,5.6,43.0,0.624
13.2,32.08,2.35,64.9,34.3,29.7,0.717,2.01,136.0,5.72,42.5,0.557
12.2,62.8,2.31,66.3,34.9,30.2,0.854,2.03,148.0,5.83,39.2,0.467
12.7,62.94,2.16,57.0,22.2,28.7,0.929,2.03,134.0,4.97,42.0,0.464
12.1,58.56,2.72,65.0,44.0,30.5,0.706,2.06,119.0,4.41,41.0,0.458
14.0,34.89,2.4,58.0,23.4,28.8,0.851,2.28,136.0,3.73,41.8,0.483
13.8,31.41,2.08,61.1,33.1,28.8,0.828,2.58,130.0,5.76,42.2,0.62
12.1,37.46,2.47,65.5,31.6,30.1,0.733,2.07,130.0,3.4,42.8,0.474
12.1,55.61,2.96,67.2,29.8,30.8,0.7,2.1,126.0,5.52,41.4,0.497
11.6,53.87,2.22,62.6,29.8,29.3,0.859,2.43,128.0,4.22,41.3,0.471
12.3,33.77,2.48,62.7,34.3,32.0,0.882,2.63,126.0,3.84,43.2,0.47
12.9,50.2,2.04,62.9,30.8,31.0,1.1,2.6,129.0,4.19,43.5,0.559
13.0,61.57,2.86,67.8,27.7,29.8,0.767,2.56,131.0,4.85,41.9,0.63
10.7,43.12,2.91,70.2,25.3,29.1,0.734,2.97,132.0,4.15,43.3,0.473
13.2,38.32,2.68,69.8,29.2,31.3,0.973,2.74,143.0,4.72,42.8,0.51
15.4,69.93,2.53,60.4,30.1,29.8,0.627,2.51,147.0,5.03,42.0,0.492
12.4,57.85,2.32,69.1,26.8,30.0,1.1,2.35,136.0,5.47,41.8,0.474
12.5,61.89,2.74,68.5,27.3,31.1,0.908,2.6,123.0,5.33,41.6,0.475
13.7,53.98,2.05,68.7,38.9,30.3,0.731,2.37,124.0,4.92,41.5,0.489
13.8,51.4,2.44,60.5,29.0,31.6,1.06,2.72,146.0,6.53,41.3,0.526
13.6,68.55,2.62,68.9,37.1,29.3,1.08,2.02,117.0,3.53,42.7,0.643
12.8,47.87,2.26,60.5,27.3,28.4,1.03,2.57,145.0,5.59,42.3,0.625
11.9,33.75,2.12,58.2,25.2,27.6,1.09,2.88,141.0,6.65,42.1,0.535
13.9,68.25,2.74,67.1,34.2,27.9,0.704,2.6,118.0,5.52,41.5,0.541
12.5,60.05,2.15,62.8,31.7,29.6,0.913,2.12,126.0,3.77,42.9,0.594
11.8,38.26,2.97,70.4,40.4,28.5,0.747,2.42,130.0,5.02,42.8,0.592
12.6,66.9,2.33,74.0,25.4,30.4,0.758,2.94,117.0,4.88,41.8,0.613
14.5,34.75,2.16,62.4,29.0,30.3,0.947,2.73,144.0,3.94,40.7,0.551
12.2,40.23,2.45,62.7,29.2,30.0,0.997,2.95,120.0,5.03,43.2,0.642
14.7,53.39,2.24,69.6,28.6,28.1,0.961,2.83,128.0,6.58,43.2,0.636
12.6,52.25,2.25,77.2,18.2,30.5,0.783,2.75,142.0,4.78,42.1,0.467
12.7,31.18,2.15,74.5,33.3,30.2,0.723,2.91,132.0,5.61,40.9,0.507
12.1,69.14,2.14,64.1,30.1,30.9,0.905,2.16,131.0,3.87,40.9,0.603
12.7,58.26,2.92,69.0,31.2,30.1,0.628,2.62,129.0,5.62,41.3,0.605
12.9,69.72,2.1,67.0,21.0,30.2,0.853,2.25,122.0,5.12,42.1,0.545
14.1,61.66,2.09,70.0,24.6,30.3,1.06,2.2,147.0,5.38,40.5,0.495
15.4,31.58,2.23,66.8,22.8,30.0,1.07,2.27,138.0,3.17,41.3,0.532
13.4,35.34,2.12,61.0,28.2,29.6,0.603,2.23,159.0,5.19,39.0,0.548
13.1,49.81,2.05,76.4,33.1,31.0,0.778,2.02,134.0,5.65,40.3,0.546
11.9,56.65,2.04,71.8,29.4,30.5,0.835,2.61,130.0,4.16,41.9,0.542
13.3,43.34,2.01,65.7,34.5,29.2,0.653,2.96,137.0,5.72,41.2,0.558
12.5,63.49,2.21,64.5,35.7,31.2,0.989,2.39,127.0,4.83,40.8,0.491
13.7,53.61,2.42,73.0,35.8,30.5,0.802,2.62,127.0,6.56,43.2,0.614
12.2,54.5,2.51,73.7,16.1,31.3,0.776,2.63,129.0,4.46,42.0,0.49
12.3,54.72,2.93,61.4,30.2,29.4,0.683,2.28,125.0,6.41,41.7,0.577
11.4,50.35,2.65,62.5,28.0,31.5,0.604,2.51,128.0,4.27,41.7,0.648
13.5,64.98,2.34,63.6,38.2,30.2,0.76,2.95,125.0,5.69,41.1,0.624
13.6,63.86,2.99,57.2,30.3,27.5,0.667,2.84,134.0,5.57,41.5,0.5
12.4,57.4,2.39,62.3,33.7,27.3,0.892,2.11,129.0,5.08,41.2,0.549
12.9,32.95,2.06,64.3,26.3,29.7,0.671,2.99,137.0,6.03,42.4,0.505
12.4,39.27,2.0,70.0,31.8,29.2,0.89,2.04,135.0,4.74,40.5,0.626
13.8,33.44,2.8,55.6,24.1,32.4,1.01,2.43,121.0,5.77,40.3,0.631
14.0,59.49,2.83,57.4,26.7,30.3,1.03,2.16,125.0,4.02,41.9,0.485
13.2,62.18,2.58,75.7,33.0,28.2,0.822,2.87,126.0,5.09,42.6,0.487
12.8,44.74,2.28,62.1,31.7,29.9,0.831,2.25,139.0,5.75,42.0,0.625
12.1,48.72,2.05,64.9,37.6,31.6,1.07,2.19,137.0,4.92,43.0,0.643
12.7,54.36,2.17,64.5,32.8,29.1,0.842,2.12,157.0,3.25,43.5,0.48
14.0,41.3,2.8,59.3,31.4,29.5,0.812,2.72,134.0,4.68,41.5,0.528
13.5,67.06,2.73,70.9,36.8,30.5,0.668,2.91,125.0,4.59,41.3,0.513
12.0,58.85,2.57,61.2,24.2,29.6,0.85,2.34,143.0,6.04,42.5,0.482
13.5,60.7,2.41,62.4,22.5,29.2,0.879,2.36,115.0,6.6,41.4,0.643
13.2,44.03,2.66,68.6,26.6,29.4,1.08,2.56,145.0,3.11,42.6,0.616
13.8,66.42,2.89,65.3,24.2,30.2,1.09,2.59,136.0,5.07,41.5,0.555
14.3,40.6,2.54,73.9,23.7,30.8,0.871,2.82,127.0,4.57,42.9,0.494
14.7,44.25,2.39,55.8,27.2,30.8,1.01,2.46,116.0,6.17,41.2,0.489
13.6,66.09,2.22,61.0,38.6,27.8,0.785,2.08,134.0,4.84,40.1,0.627
14.0,58.02,2.94,69.9,39.7,29.7,0.967,2.55,125.0,4.67,41.7,0.588
14.4,52.39,2.24,64.4,30.3,29.8,1.02,2.05,140.0,4.55,42.5,0.591
15.1,30.34,2.71,64.6,34.3,32.5,0.715,2.4,135.0,3.75,40.0,0.478
12.6,43.7,2.45,59.9,30.9,28.9,0.935,2.64,137.0,5.58,42.3,0.454
12.1,32.16,2.48,56.6,34.3,31.9,0.906,2.49,141.0,6.03,40.5,0.56
11.7,47.36,2.41,59.5,26.5,31.7,1.08,3.0,123.0,4.13,41.6,0.473
